idx irq        fired       rxpkts       txpkts         cpus name
  0 327          128            0            0         0-31 mlx5_async0
  1 328           12      8990616      4495281           32 mlx5_comp0
  2 539           27      9322604      4406991           33 mlx5_comp1
  3 540           30      7889099      3066266           34 mlx5_comp2
  4 541            4      8817600      4662739           35 mlx5_comp3
  5 542           17      9571871      4314429           36 mlx5_comp4
  6 543            9      6136637      4077573           37 mlx5_comp5
  7 544            3      8629433      3944820           38 mlx5_comp6
  8 545           24      8153555      4786335           39 mlx5_comp7
total            254     67511415     33754434
