idx irq        fired       rxpkts       txpkts         cpus name
  0 327          128            0            0         0-31 mlx5_async0
  1 328            0      1610968       747412           32 mlx5_comp0
  2 539            3      1562924       761132           33 mlx5_comp1
  3 540            3      1464578       747564           34 mlx5_comp2
  4 541          118      1553565       743214           35 mlx5_comp3
  5 542           11      1485946       766273           36 mlx5_comp4
  6 543           23      1553578       747221           37 mlx5_comp5
  7 544            0      1392832       747974           38 mlx5_comp6
  8 545           15      1503177       767272           39 mlx5_comp7
total            301     12127568      6028062
