idx irq        fired       rxpkts       txpkts         cpus name
  0 327          150            0            0         0-31 mlx5_async0
  1 328          320      9592314      4795863           32 mlx5_comp0
  2 539          325      8811806      4621375           33 mlx5_comp1
  3 540          335      8985561      4434195           34 mlx5_comp2
  4 541          320      9244252      4585543           35 mlx5_comp3
  5 542          339      9423293      4694313           36 mlx5_comp4
  6 543          321      9173025      4493946           37 mlx5_comp5
  7 544          330      8868673      4407415           38 mlx5_comp6
  8 545          342      9385777      4712121           39 mlx5_comp7
total           2782     73484701     36744771
