idx irq        fired       rxpkts       txpkts         cpus name
  0 327          145            0            0         0-31 mlx5_async0
  1 328            0      2969160      1511187           32 mlx5_comp0
  2 539            0      2975478      1468445           33 mlx5_comp1
  3 540            0      2945302      1463772           34 mlx5_comp2
  4 541            0      3028422      1487539           35 mlx5_comp3
  5 542            0      2939808      1472352           36 mlx5_comp4
  6 543            0      3086699      1599467           37 mlx5_comp5
  7 544            0      3202539      1541022           38 mlx5_comp6
  8 545            0      2928373      1482384           39 mlx5_comp7
total            145     24075781     12026168
