idx irq        fired       rxpkts       txpkts         cpus name
  0 327          128            0            0         0-31 mlx5_async0
  1 328            9      4502089      2314987           32 mlx5_comp0
  2 539           14      4520761      2281827           33 mlx5_comp1
  3 540           16      4493044      2245171           34 mlx5_comp2
  4 541            0      4374138      2233226           35 mlx5_comp3
  5 542           12      4512817      2260567           36 mlx5_comp4
  6 543            9      4634893      2183989           37 mlx5_comp5
  7 544            3      4567478      2254465           38 mlx5_comp6
  8 545           30      4465643      2249676           39 mlx5_comp7
total            221     36070863     18023908
