idx irq        fired       rxpkts       txpkts         cpus name
  0 327          130            0            0         0-31 mlx5_async0
  1 328            7      3108496      1490424           32 mlx5_comp0
  2 539            6      3195707      1517516           33 mlx5_comp1
  3 540           12      2923304      1508152           34 mlx5_comp2
  4 541           99      2880616      1518040           35 mlx5_comp3
  5 542           10      3033919      1491900           36 mlx5_comp4
  6 543           23      3078102      1507365           37 mlx5_comp5
  7 544           14      2917319      1491131           38 mlx5_comp6
  8 545            9      2949950      1495976           39 mlx5_comp7
total            310     24087413     12020504
