idx irq        fired       rxpkts       txpkts         cpus name
  0 327          201            0            0         0-31 mlx5_async0
  1 328          979      1585197       737108           32 mlx5_comp0
  2 539          858      1566762       779743           33 mlx5_comp1
  3 540          926      1539530       772789           34 mlx5_comp2
  4 541          411      1489435       769727           35 mlx5_comp3
  5 542          826      1428379       701045           36 mlx5_comp4
  6 543          717      1484673       744730           37 mlx5_comp5
  7 544          861      1545439       761457           38 mlx5_comp6
  8 545          770      1475044       756913           39 mlx5_comp7
total           6549     12114459      6023512
