idx irq        fired       rxpkts       txpkts         cpus name
  0 327          136            0            0         0-31 mlx5_async0
  1 328            0      3153991      1517256           32 mlx5_comp0
  2 539            0      3140381      1410823           33 mlx5_comp1
  3 540            0      3104741      1585288           34 mlx5_comp2
  4 541            0      2817450      1518740           35 mlx5_comp3
  5 542            0      3037120      1523873           36 mlx5_comp4
  6 543            0      3014583      1569238           37 mlx5_comp5
  7 544            0      2953488      1415495           38 mlx5_comp6
  8 545            0      2830204      1474435           39 mlx5_comp7
total            136     24051958     12015148
