idx irq        fired       rxpkts       txpkts         cpus name
  0 327          127            0            0         0-31 mlx5_async0
  1 328            6      7295956      3736577           32 mlx5_comp0
  2 539            5      8922067      3873390           33 mlx5_comp1
  3 540            6      7476129      4144415           34 mlx5_comp2
  4 541           96      5803308      4460563           35 mlx5_comp3
  5 542           11     10316776      3646146           36 mlx5_comp4
  6 543           27      7744170      3487366           37 mlx5_comp5
  7 544            7      6975262      5158159           38 mlx5_comp6
  8 545           13      8287765      2903774           39 mlx5_comp7
total            298     62821433     31410390
