idx irq        fired       rxpkts       txpkts         cpus name
  0 327          194            0            0         0-31 mlx5_async0
  1 328          868      4488778      2230624           32 mlx5_comp0
  2 539          718      4619456      2229357           33 mlx5_comp1
  3 540          791      4310222      2256580           34 mlx5_comp2
  4 541          360      4581602      2257972           35 mlx5_comp3
  5 542          740      4560180      2263891           36 mlx5_comp4
  6 543          587      4433495      2266199           37 mlx5_comp5
  7 544          785      4509705      2258011           38 mlx5_comp6
  8 545          684      4572666      2264032           39 mlx5_comp7
total           5727     36076104     18026666
