idx irq        fired       rxpkts       txpkts         cpus name
  0 327        14712            0            0         0-31 mlx5_async0
  1 328       300767      5706554      2991494           32 mlx5_comp0
  2 539       293180      5856566      3020554           33 mlx5_comp1
  3 540       297279      5990188      3008675           34 mlx5_comp2
  4 541       301798      6393585      3024829           35 mlx5_comp3
  5 542       303231      6096126      2942861           36 mlx5_comp4
  6 543       310243      5930225      2972373           37 mlx5_comp5
  7 544       324866      6171350      3025758           38 mlx5_comp6
  8 545       295701      5943092      3048729           39 mlx5_comp7
total        2441777     48087686     24035273
