idx irq        fired       rxpkts       txpkts         cpus name
  0 327          200            0            0         0-31 mlx5_async0
  1 328          970      3101780      1525579           32 mlx5_comp0
  2 539          840      3073881      1519529           33 mlx5_comp1
  3 540          868      3166862      1534705           34 mlx5_comp2
  4 541          435      2863189      1492467           35 mlx5_comp3
  5 542          822      2918001      1480401           36 mlx5_comp4
  6 543          613      2952380      1485007           37 mlx5_comp5
  7 544          834      2993128      1487930           38 mlx5_comp6
  8 545          736      3038193      1500429           39 mlx5_comp7
total           6318     24107414     12026047
