idx irq        fired       rxpkts       txpkts         cpus name
  0 327          127            0            0         0-31 mlx5_async0
  1 328            0      4459961      2150942           32 mlx5_comp0
  2 539            0      4225100      2337832           33 mlx5_comp1
  3 540            0      4673801      2335801           34 mlx5_comp2
  4 541            0      4307864      2183227           35 mlx5_comp3
  5 542            0      4551781      2228703           36 mlx5_comp4
  6 543            0      4371173      2112636           37 mlx5_comp5
  7 544            0      4677705      2400125           38 mlx5_comp6
  8 545            0      4800938      2275043           39 mlx5_comp7
total            127     36068323     18024309
