idx irq        fired       rxpkts       txpkts         cpus name
  0 327        12673            0            0         0-31 mlx5_async0
  1 328       276477      7198868      3479760           32 mlx5_comp0
  2 529       290529      6443002      3469058           33 mlx5_comp1
  3 530       287819      7250147      3354208           34 mlx5_comp2
  4 531       288342      6477931      3434992           35 mlx5_comp3
  5 532       306938      6869255      3218266           36 mlx5_comp4
  6 533       268123      7127494      3882518           37 mlx5_comp5
  7 534       294330      7286399      3718521           38 mlx5_comp6
  8 535       304750      6936470      3236828           39 mlx5_comp7
total        2329981     55589566     27794151
