idx irq        fired       rxpkts       txpkts         cpus name
  0 327        29479            0            0         0-31 mlx5_async0
  1 328       382151      3086164      1509762           32 mlx5_comp0
  2 529       379306      2996663      1535819           33 mlx5_comp1
  3 530       383303      3043676      1419868           34 mlx5_comp2
  4 531       388622      3087424      1514137           35 mlx5_comp3
  5 532       392637      3038282      1496069           36 mlx5_comp4
  6 533       376066      3036640      1519562           37 mlx5_comp5
  7 534       376027      2951089      1515335           38 mlx5_comp6
  8 535       371151      2817509      1510995           39 mlx5_comp7
total        3078742     24057447     12021547
