idx irq        fired       rxpkts       txpkts         cpus name
  0 327        49694            0            0         0-31 mlx5_async0
  1 328       570959      1515911       736775           32 mlx5_comp0
  2 529       557161      1499745       750000           33 mlx5_comp1
  3 530       572658      1522198       738929           34 mlx5_comp2
  4 531       593081      1451513       745422           35 mlx5_comp3
  5 532       567829      1500954       763947           36 mlx5_comp4
  6 533       555985      1490633       756622           37 mlx5_comp5
  7 534       555806      1582578       759497           38 mlx5_comp6
  8 535       573586      1510119       771204           39 mlx5_comp7
total        4596759     12073651      6022396
