idx irq        fired       rxpkts       txpkts         cpus name
  0 327          127            0            0         0-31 mlx5_async0
  1 328            0      8875059      4050888           32 mlx5_comp0
  2 529            0      8814542      4586030           33 mlx5_comp1
  3 530            0      8758383      4427609           34 mlx5_comp2
  4 531            0      8806139      4409088           35 mlx5_comp3
  5 532            0      9211341      4396979           36 mlx5_comp4
  6 533            0      8659589      4415898           37 mlx5_comp5
  7 534            0      8385120      4424838           38 mlx5_comp6
  8 535            0      8992297      4542890           39 mlx5_comp7
total            127     70502470     35254220
