idx irq        fired       rxpkts       txpkts         cpus name
  0 327          128            0            0         0-31 mlx5_async0
  1 328            3      6074162      3165538           32 mlx5_comp0
  2 529            3      6336642      2946469           33 mlx5_comp1
  3 530           13      6002307      2952495           34 mlx5_comp2
  4 531            0      6078517      2968477           35 mlx5_comp3
  5 532           20      5752662      2989299           36 mlx5_comp4
  6 533           37      6093792      2999759           37 mlx5_comp5
  7 534           10      5954692      3034875           38 mlx5_comp6
  8 535           23      5795279      2973740           39 mlx5_comp7
total            237     48088053     24030652
