idx irq        fired       rxpkts       txpkts         cpus name
  0 317          380            0            0        32-63 mlx5_async0
  1 318           54      7389540      4083196           16 mlx5_comp0
  2 341            0      8494226      3654065           17 mlx5_comp1
  3 342            0      7414050      3708007           18 mlx5_comp2
  4 343            0      6924663      3826392           19 mlx5_comp3
  5 344           63      6868826      4267680           20 mlx5_comp4
  6 345            4      8457623      3871563           21 mlx5_comp5
  7 346            6      8117222      3851112           22 mlx5_comp6
  8 347            6      7463530      3308266           23 mlx5_comp7
total            513     61129680     30570281
