idx irq        fired       rxpkts       txpkts         cpus name
  0 317          474            0            0        32-63 mlx5_async0
  1 318          948      8334192      4330735           16 mlx5_comp0
  2 341         1183      8358321      4144878           17 mlx5_comp1
  3 342         1248      8668934      4303611           18 mlx5_comp2
  4 343         1349      8859985      4424038           19 mlx5_comp3
  5 344          905      9021306      4511772           20 mlx5_comp4
  6 345         1166      8944313      4470285           21 mlx5_comp5
  7 346         1225      8297931      4168347           22 mlx5_comp6
  8 347         1215      8614196      4176863           23 mlx5_comp7
total           9713     69099178     34530529
