idx irq        fired       rxpkts       txpkts         cpus name
  0 317        19720            0            0        32-63 mlx5_async0
  1 318       335164      7080973      3852593           16 mlx5_comp0
  2 341       345034      7755259      3608661           17 mlx5_comp1
  3 342       339882      7204772      3637098           18 mlx5_comp2
  4 343       333760      7768944      3701053           19 mlx5_comp3
  5 344       343088      7352225      3711551           20 mlx5_comp4
  6 345       341117      7253142      3590932           21 mlx5_comp5
  7 346       339382      7562846      3866153           22 mlx5_comp6
  8 347       343696      7474733      3737461           23 mlx5_comp7
total        2740843     59452894     29705502
