idx irq        fired       rxpkts       txpkts         cpus name
  0 327          140            0            0         0-31 mlx5_async0
  1 328           15      6068022      2993484           32 mlx5_comp0
  2 529            1      6021629      3002032           33 mlx5_comp1
  3 530           16      6352483      3021439           34 mlx5_comp2
  4 531            9      5904315      3011141           35 mlx5_comp3
  5 532           46      5731394      2997738           36 mlx5_comp4
  6 533           74      5725316      2972658           37 mlx5_comp5
  7 534            8      6197724      3011737           38 mlx5_comp6
  8 535           45      6069564      3019879           39 mlx5_comp7
total            354     48070447     24030108
