idx irq        fired       rxpkts       txpkts         cpus name
  0 327          127            0            0         0-31 mlx5_async0
  1 328            0      9561660      4488633           32 mlx5_comp0
  2 529            0      9566769      4785230           33 mlx5_comp1
  3 530            0      9356581      4720329           34 mlx5_comp2
  4 531            0      8930120      4651177           35 mlx5_comp3
  5 532            0      8964360      4464570           36 mlx5_comp4
  6 533            0      9295521      4949859           37 mlx5_comp5
  7 534            0      9898220      4781823           38 mlx5_comp6
  8 535            0      9394409      4650012           39 mlx5_comp7
total            127     74967640     37491633
