idx irq        fired       rxpkts       txpkts         cpus name
  0 327          128            0            0         0-31 mlx5_async0
  1 328            8      4703927      2330848           32 mlx5_comp0
  2 529           17      4332602      2229161           33 mlx5_comp1
  3 530           21      4326946      2207807           34 mlx5_comp2
  4 531           11      4747288      2352216           35 mlx5_comp3
  5 532           15      4405104      2308325           36 mlx5_comp4
  6 533           57      4574388      2159263           37 mlx5_comp5
  7 534           33      4693353      2155453           38 mlx5_comp6
  8 535           20      4296903      2291609           39 mlx5_comp7
total            310     36080511     18034682
