idx irq        fired       rxpkts       txpkts         cpus name
  0 327          193            0            0         0-31 mlx5_async0
  1 328          701      1545189       743554           32 mlx5_comp0
  2 529          701      1408086       756103           33 mlx5_comp1
  3 530          664      1467142       753748           34 mlx5_comp2
  4 531          907      1577197       759620           35 mlx5_comp3
  5 532          651      1497194       741099           36 mlx5_comp4
  6 533          502      1519482       764350           37 mlx5_comp5
  7 534          601      1459453       749906           38 mlx5_comp6
  8 535          572      1609234       758111           39 mlx5_comp7
total           5492     12082977      6026491
