idx irq        fired       rxpkts       txpkts         cpus name
  0 327          127            0            0         0-31 mlx5_async0
  1 328            0      4417445      2300420           32 mlx5_comp0
  2 529            0      4758246      2285955           33 mlx5_comp1
  3 530            0      4310206      2168030           34 mlx5_comp2
  4 531            0      4688674      2154517           35 mlx5_comp3
  5 532            0      4338936      2207584           36 mlx5_comp4
  6 533            0      4674633      2378495           37 mlx5_comp5
  7 534            0      4388890      2193866           38 mlx5_comp6
  8 535            0      4498941      2343095           39 mlx5_comp7
total            127     36075971     18031962
