idx irq        fired       rxpkts       txpkts         cpus name
  0 327          127            0            0         0-31 mlx5_async0
  1 328            0      9386541      4662415           32 mlx5_comp0
  2 529            0      8745896      4692845           33 mlx5_comp1
  3 530            0      9208009      4339701           34 mlx5_comp2
  4 531            0      8978329      4404447           35 mlx5_comp3
  5 532            0      9242139      4604241           36 mlx5_comp4
  6 533            0      8674907      4621455           37 mlx5_comp5
  7 534            0      8806972      4372527           38 mlx5_comp6
  8 535            0      9321368      4486944           39 mlx5_comp7
total            127     72364161     36184575
