idx irq        fired       rxpkts       txpkts         cpus name
  0 327        16264            0            0         0-31 mlx5_async0
  1 328       301337      5942485      2917411           32 mlx5_comp0
  2 529       317260      6140353      3023306           33 mlx5_comp1
  3 530       303037      6267557      2900774           34 mlx5_comp2
  4 531       316448      5788887      3004678           35 mlx5_comp3
  5 532       303014      6134744      3018433           36 mlx5_comp4
  6 533       309199      6048039      3030457           37 mlx5_comp5
  7 534       308901      6168067      3037563           38 mlx5_comp6
  8 535       319945      5573011      3090576           39 mlx5_comp7
total        2495405     48063143     24023198
