idx irq        fired       rxpkts       txpkts         cpus name
  0 327          129            0            0         0-31 mlx5_async0
  1 328           25      1556449       748838           32 mlx5_comp0
  2 529           17      1487849       764536           33 mlx5_comp1
  3 530            5      1448142       724706           34 mlx5_comp2
  4 531           11      1567293       766809           35 mlx5_comp3
  5 532           29      1519093       759205           36 mlx5_comp4
  6 533           82      1476380       757314           37 mlx5_comp5
  7 534           30      1517565       742569           38 mlx5_comp6
  8 535           26      1509010       759029           39 mlx5_comp7
total            354     12081781      6023006
