idx irq        fired       rxpkts       txpkts         cpus name
  0 327          127            0            0         0-31 mlx5_async0
  1 328            0      7367922      3917597           32 mlx5_comp0
  2 529            0      7614855      3682114           33 mlx5_comp1
  3 530            0      7859405      3665796           34 mlx5_comp2
  4 531            0      7332249      3815399           35 mlx5_comp3
  5 532            0      8044779      3695682           36 mlx5_comp4
  6 533            0      7389546      3478940           37 mlx5_comp5
  7 534            0      7518099      4022530           38 mlx5_comp6
  8 535            0      6958081      3758392           39 mlx5_comp7
total            127     60084936     30036450
