idx irq        fired       rxpkts       txpkts         cpus name
  0 327          149            0            0         0-31 mlx5_async0
  1 328           10      4300845      2081293           32 mlx5_comp0
  2 529           13      4468034      2246051           33 mlx5_comp1
  3 530           13      4738213      2282788           34 mlx5_comp2
  4 531            5      4516806      2353591           35 mlx5_comp3
  5 532           21      4576857      2266864           36 mlx5_comp4
  6 533           59      4473480      2274349           37 mlx5_comp5
  7 534           33      4471876      2247399           38 mlx5_comp6
  8 535           38      4532442      2277368           39 mlx5_comp7
total            341     36078553     18029703
