idx irq        fired       rxpkts       txpkts         cpus name
  0 327          184            0            0         0-31 mlx5_async0
  1 328          615      9435591      4747251           32 mlx5_comp0
  2 529          619      8809171      4532807           33 mlx5_comp1
  3 530          541      9171553      4260579           34 mlx5_comp2
  4 531          646      9473153      4705455           35 mlx5_comp3
  5 532          538      8812974      4630766           36 mlx5_comp4
  6 533          466      9049193      4615582           37 mlx5_comp5
  7 534          872      8994905      4396018           38 mlx5_comp6
  8 535          483      9197334      4591737           39 mlx5_comp7
total           4964     72943874     36480195
