idx irq        fired       rxpkts       txpkts         cpus name
  0 327          127            0            0         0-31 mlx5_async0
  1 328            7      7545767      3704175           32 mlx5_comp0
  2 539           45      7755426      3771550           33 mlx5_comp1
  3 540           46      7747179      3730817           34 mlx5_comp2
  4 541            0      7747800      3612795           35 mlx5_comp3
  5 542           17      7093868      3819554           36 mlx5_comp4
  6 543            6      7773616      3785547           37 mlx5_comp5
  7 544            8      7138520      3819011           38 mlx5_comp6
  8 545           12      7288551      3795863           39 mlx5_comp7
total            268     60090727     30039312
