idx irq        fired       rxpkts       txpkts         cpus name
  0 327          128            0            0         0-31 mlx5_async0
  1 328            5      2913241      1525456           32 mlx5_comp0
  2 539           37      2852677      1541926           33 mlx5_comp1
  3 540           57      3168845      1472174           34 mlx5_comp2
  4 541            0      2962320      1523988           35 mlx5_comp3
  5 542            9      2933945      1472174           36 mlx5_comp4
  6 543           17      3026200      1486260           37 mlx5_comp5
  7 544           20      3119437      1526546           38 mlx5_comp6
  8 545            7      3117942      1479624           39 mlx5_comp7
total            280     24094607     12028148
