idx irq        fired       rxpkts       txpkts         cpus name
  0 327          175            0            0         0-31 mlx5_async0
  1 328          553      1553295       743331           32 mlx5_comp0
  2 539          452      1530916       759055           33 mlx5_comp1
  3 540          388      1517570       753803           34 mlx5_comp2
  4 541          631      1538663       755309           35 mlx5_comp3
  5 542          517      1498984       757336           36 mlx5_comp4
  6 543          587      1447077       753074           37 mlx5_comp5
  7 544          474      1465061       750109           38 mlx5_comp6
  8 545          578      1535906       750861           39 mlx5_comp7
total           4355     12087472      6022878
