idx irq        fired       rxpkts       txpkts         cpus name
  0 327         9435            0            0         0-31 mlx5_async0
  1 328       306244     10119962      3483661           32 mlx5_comp0
  2 539       314357      7899217      3361133           33 mlx5_comp1
  3 540       315229      7352633      3017653           34 mlx5_comp2
  4 541       283854      6728731      5057817           35 mlx5_comp3
  5 542       287784      6970321      3734097           36 mlx5_comp4
  6 543       279486      6048168      4269178           37 mlx5_comp5
  7 544       288460      7467859      3949086           38 mlx5_comp6
  8 545       285845      8542293      3680120           39 mlx5_comp7
total        2370694     61129184     30552745
