idx irq        fired       rxpkts       txpkts         cpus name
  0 327          137            0            0         0-31 mlx5_async0
  1 328            7      2988944      1475864           32 mlx5_comp0
  2 539           34      3043634      1532692           33 mlx5_comp1
  3 540           52      3053537      1511129           34 mlx5_comp2
  4 541            0      2983418      1515497           35 mlx5_comp3
  5 542            3      2932442      1413190           36 mlx5_comp4
  6 543            0      3180820      1547671           37 mlx5_comp5
  7 544           19      2947606      1499697           38 mlx5_comp6
  8 545            0      2959608      1525574           39 mlx5_comp7
total            252     24090009     12021314
