idx irq        fired       rxpkts       txpkts         cpus name
  0 327          127            0            0         0-31 mlx5_async0
  1 328            0      1546408       768622           32 mlx5_comp0
  2 539            0      1538788       748728           33 mlx5_comp1
  3 540            0      1443333       745400           34 mlx5_comp2
  4 541            0      1504045       776178           35 mlx5_comp3
  5 542            0      1501571       727463           36 mlx5_comp4
  6 543            0      1558094       769803           37 mlx5_comp5
  7 544            0      1458554       774796           38 mlx5_comp6
  8 545            0      1558774       721493           39 mlx5_comp7
total            127     12109567      6032483
