idx irq        fired       rxpkts       txpkts         cpus name
  0 327          151            0            0         0-31 mlx5_async0
  1 328          348      7471844      4791826           32 mlx5_comp0
  2 539          343      7050461      3733452           33 mlx5_comp1
  3 540          334      8343636      3804622           34 mlx5_comp2
  4 541          226      9593163      4173591           35 mlx5_comp3
  5 542          344      7610319      3462758           36 mlx5_comp4
  6 543          330      8874088      4433426           37 mlx5_comp5
  7 544          342      9320376      3526127           38 mlx5_comp6
  8 545          310      6930767      4659710           39 mlx5_comp7
total           2728     65194654     32585512
