idx irq        fired       rxpkts       txpkts         cpus name
  0 327        14070            0            0         0-31 mlx5_async0
  1 328       296273      6275782      2956010           32 mlx5_comp0
  2 539       307017      6115908      2941039           33 mlx5_comp1
  3 540       297419      6074674      2956072           34 mlx5_comp2
  4 541       304522      6238099      2891060           35 mlx5_comp3
  5 542       298610      5772655      3039949           36 mlx5_comp4
  6 543       287674      6077445      3092696           37 mlx5_comp5
  7 544       296539      5598855      3092097           38 mlx5_comp6
  8 545       298254      5949210      3057072           39 mlx5_comp7
total        2400378     48102628     24025995
