idx irq        fired       rxpkts       txpkts         cpus name
  0 327          199            0            0         0-31 mlx5_async0
  1 328          669      6289092      3193575           32 mlx5_comp0
  2 539          561      6289015      3143976           33 mlx5_comp1
  3 540          944      6632237      3386597           34 mlx5_comp2
  4 541          693      6265662      3193249           35 mlx5_comp3
  5 542         1073      6363196      3141056           36 mlx5_comp4
  6 543          706      6387045      3145963           37 mlx5_comp5
  7 544          631      6630040      3275734           38 mlx5_comp6
  8 545          674      6391622      3127445           39 mlx5_comp7
total           6150     51247909     25607595
