idx irq        fired       rxpkts       txpkts         cpus name
  0 327          129            0            0         0-31 mlx5_async0
  1 328            2      1471614       750323           32 mlx5_comp0
  2 539           62      1493965       763577           33 mlx5_comp1
  3 540           78      1493820       775071           34 mlx5_comp2
  4 541            5      1551790       759963           35 mlx5_comp3
  5 542           27      1484928       710266           36 mlx5_comp4
  6 543            8      1535736       763931           37 mlx5_comp5
  7 544           34      1550746       746824           38 mlx5_comp6
  8 545           13      1528772       760603           39 mlx5_comp7
total            358     12111371      6030558
