idx irq        fired       rxpkts       txpkts         cpus name
  0 327          130            0            0         0-31 mlx5_async0
  1 328            3      2892021      1513508           32 mlx5_comp0
  2 539           16      2997824      1496894           33 mlx5_comp1
  3 540           54      2974827      1501979           34 mlx5_comp2
  4 541            0      3055427      1513496           35 mlx5_comp3
  5 542            8      3038384      1530922           36 mlx5_comp4
  6 543            6      3048772      1520885           37 mlx5_comp5
  7 544           16      2995054      1510602           38 mlx5_comp6
  8 545            0      3119427      1443814           39 mlx5_comp7
total            233     24121736     12032100
