idx irq        fired       rxpkts       txpkts         cpus name
  0 327          127            0            0         0-31 mlx5_async0
  1 328            0      7853753      3644190           32 mlx5_comp0
  2 539           20      7320716      3840176           33 mlx5_comp1
  3 540           54      7232405      3617319           34 mlx5_comp2
  4 541            0      7694468      3904331           35 mlx5_comp3
  5 542           11      7470580      3660096           36 mlx5_comp4
  6 543            3      7458534      3732674           37 mlx5_comp5
  7 544           18      7290267      3923063           38 mlx5_comp6
  8 545            4      7815195      3724304           39 mlx5_comp7
total            237     60135918     30046153
