idx irq        fired       rxpkts       txpkts         cpus name
  0 327          150            0            0         0-31 mlx5_async0
  1 328          346      6091878      3928867           32 mlx5_comp0
  2 539          342      8307191      4123568           33 mlx5_comp1
  3 540          336      6157117      4157459           34 mlx5_comp2
  4 541          299      8791375      3696713           35 mlx5_comp3
  5 542          354      7409554      3045167           36 mlx5_comp4
  6 543          305      8930491      4466261           37 mlx5_comp5
  7 544          368      9001204      4503170           38 mlx5_comp6
  8 545          330      7315597      3080335           39 mlx5_comp7
total           2830     62004407     31001540
