idx irq        fired       rxpkts       txpkts         cpus name
  0 327          127            0            0         0-31 mlx5_async0
  1 328            0      3110870      1428339           32 mlx5_comp0
  2 539            0      2802921      1520394           33 mlx5_comp1
  3 540            0      2856084      1610644           34 mlx5_comp2
  4 541            0      3017895      1552247           35 mlx5_comp3
  5 542            0      3044370      1516569           36 mlx5_comp4
  6 543            0      3042254      1503803           37 mlx5_comp5
  7 544            0      2988182      1401061           38 mlx5_comp6
  8 545            0      3226574      1491866           39 mlx5_comp7
total            127     24089150     12024923
