idx irq        fired       rxpkts       txpkts         cpus name
  0 327          153            0            0         0-31 mlx5_async0
  1 328          339      6000301      2982110           32 mlx5_comp0
  2 539          365      6201881      3015531           33 mlx5_comp1
  3 540          357      5806197      2996161           34 mlx5_comp2
  4 541          273      5821474      3006321           35 mlx5_comp3
  5 542          339      6008940      3020056           36 mlx5_comp4
  6 543          362      5937066      3023506           37 mlx5_comp5
  7 544          343      6374620      2987218           38 mlx5_comp6
  8 545          331      5923341      2992845           39 mlx5_comp7
total           2862     48073820     24023748
