idx irq        fired       rxpkts       txpkts         cpus name
  0 327          201            0            0         0-31 mlx5_async0
  1 328          851      9097247      4670928           32 mlx5_comp0
  2 539         1229      9239678      4567665           33 mlx5_comp1
  3 540          458      9122963      4579479           34 mlx5_comp2
  4 541          980      8996513      4249834           35 mlx5_comp3
  5 542          709      9191281      4563910           36 mlx5_comp4
  6 543         1102      8762558      4582428           37 mlx5_comp5
  7 544          662      9134551      4596425           38 mlx5_comp6
  8 545          892      9111549      4511288           39 mlx5_comp7
total           7084     72656340     36321957
