idx irq        fired       rxpkts       txpkts         cpus name
  0 327          127            0            0         0-31 mlx5_async0
  1 328            0      9216473      4580521           32 mlx5_comp0
  2 539            0      8837682      4692081           33 mlx5_comp1
  3 540            0      9157249      4639687           34 mlx5_comp2
  4 541            0      9393550      4790819           35 mlx5_comp3
  5 542            0      9582369      4420024           36 mlx5_comp4
  6 543            0      9918270      4957678           37 mlx5_comp5
  7 544            0      9339540      4605764           38 mlx5_comp6
  8 545            0      9282568      4670837           39 mlx5_comp7
total            127     74727701     37357411
