idx irq        fired       rxpkts       txpkts         cpus name
  0 327          130            0            0         0-31 mlx5_async0
  1 328            2      7235450      3373142           32 mlx5_comp0
  2 539           24      7188926      3771218           33 mlx5_comp1
  3 540           41      7502065      4115988           34 mlx5_comp2
  4 541            0      7891683      3620735           35 mlx5_comp3
  5 542            0      7206020      3517384           36 mlx5_comp4
  6 543            0      7077522      3630871           37 mlx5_comp5
  7 544           10      7056358      3733235           38 mlx5_comp6
  8 545            2      7511303      3554053           39 mlx5_comp7
total            209     58669327     29316626
