idx irq        fired       rxpkts       txpkts         cpus name
  0 317          369            0            0        32-63 mlx5_async0
  1 318           57      5835326      3082998           16 mlx5_comp0
  2 341           10      5782825      3001722           17 mlx5_comp1
  3 342            3      6224407      2971454           18 mlx5_comp2
  4 343            6      6040392      3016419           19 mlx5_comp3
  5 344           32      6108528      3062026           20 mlx5_comp4
  6 345            3      6135687      2937786           21 mlx5_comp5
  7 346            4      6336136      2936098           22 mlx5_comp6
  8 347            4      5664550      3019083           23 mlx5_comp7
total            488     48127851     24027586
