idx irq        fired       rxpkts       txpkts         cpus name
  0 317          427            0            0        32-63 mlx5_async0
  1 318          553      1464284       739291           16 mlx5_comp0
  2 341          470      1499063       736828           17 mlx5_comp1
  3 342          405      1417106       698587           18 mlx5_comp2
  4 343          416      1589739       754049           19 mlx5_comp3
  5 344          568      1532713       787395           20 mlx5_comp4
  6 345          510      1553729       773176           21 mlx5_comp5
  7 346          444      1419937       756505           22 mlx5_comp6
  8 347          456      1635914       775983           23 mlx5_comp7
total           4249     12112485      6021814
