idx irq        fired       rxpkts       txpkts         cpus name
  0 317          533            0            0        32-63 mlx5_async0
  1 318         1032      5771009      2974367           16 mlx5_comp0
  2 341         1489      5966835      2963035           17 mlx5_comp1
  3 342         1658      6067475      3023840           18 mlx5_comp2
  4 343         1819      6215529      2931398           19 mlx5_comp3
  5 344          898      5931805      3099098           20 mlx5_comp4
  6 345         1478      6270331      3088558           21 mlx5_comp5
  7 346         1654      6112784      2937435           22 mlx5_comp6
  8 347         1583      5812596      3018078           23 mlx5_comp7
total          12144     48148364     24035809
