idx irq        fired       rxpkts       txpkts         cpus name
  0 317          398            0            0        32-63 mlx5_async0
  1 318           36      8168583      3627576           16 mlx5_comp0
  2 341            0      7769801      3864048           17 mlx5_comp1
  3 342            0      7798954      4458380           18 mlx5_comp2
  4 343            0      8241347      3393220           19 mlx5_comp3
  5 344           56      7437444      4030772           20 mlx5_comp4
  6 345            4      7798300      3925006           21 mlx5_comp5
  7 346            0      7361999      3920919           22 mlx5_comp6
  8 347            8      7382414      3760470           23 mlx5_comp7
total            502     61958842     30980391
