idx irq        fired       rxpkts       txpkts         cpus name
  0 317          568            0            0        32-63 mlx5_async0
  1 318         1032      5727840      3091802           16 mlx5_comp0
  2 341         1704      6328074      3443258           17 mlx5_comp1
  3 342         3016      5854039      2960761           18 mlx5_comp2
  4 343         2001      6906484      3396747           19 mlx5_comp3
  5 344          978      6787106      2815995           20 mlx5_comp4
  6 345         2072      5941585      3146981           21 mlx5_comp5
  7 346         2442      6327379      2931457           22 mlx5_comp6
  8 347         2802      7093061      3664011           23 mlx5_comp7
total          16615     50965568     25451012
