idx irq        fired       rxpkts       txpkts         cpus name
  0 317        18438            0            0        32-63 mlx5_async0
  1 318       327398      7120014      3844278           16 mlx5_comp0
  2 341       328850      7830579      3880734           17 mlx5_comp1
  3 342       344603      7930265      3596258           18 mlx5_comp2
  4 343       340963      7352521      3702714           19 mlx5_comp3
  5 344       325889      7527652      3719120           20 mlx5_comp4
  6 345       329483      7788694      3949130           21 mlx5_comp5
  7 346       328926      7116981      3707688           22 mlx5_comp6
  8 347       329388      7590450      3699134           23 mlx5_comp7
total        2673938     60257156     30099056
