idx irq        fired       rxpkts       txpkts         cpus name
  0 317          365            0            0        32-63 mlx5_async0
  1 318           58      6353982      2995998           16 mlx5_comp0
  2 341            3      5771412      2882236           17 mlx5_comp1
  3 342            3      6221431      2922448           18 mlx5_comp2
  4 343            0      6007818      3177069           19 mlx5_comp3
  5 344           94      6062781      2944176           20 mlx5_comp4
  6 345           11      5949351      3032213           21 mlx5_comp5
  7 346            0      5898973      3105917           22 mlx5_comp6
  8 347           10      5854544      2971063           23 mlx5_comp7
total            544     48120292     24031120
