idx irq        fired       rxpkts       txpkts         cpus name
  0 317          469            0            0        32-63 mlx5_async0
  1 318          819      7898180      3867450           16 mlx5_comp0
  2 341         1442      5946418      3809166           17 mlx5_comp1
  3 342         1100      7625881      3950338           18 mlx5_comp2
  4 343         1113      7747367      3295954           19 mlx5_comp3
  5 344          953      8248813      3775075           20 mlx5_comp4
  6 345         1068      7956455      3975228           21 mlx5_comp5
  7 346         1700      7593025      4127388           22 mlx5_comp6
  8 347         1012      6599887      2984735           23 mlx5_comp7
total           9676     59616026     29785334
