idx irq        fired       rxpkts       txpkts         cpus name
  0 317          397            0            0        32-63 mlx5_async0
  1 318            0      4489070      2275758           16 mlx5_comp0
  2 341            0      4559979      2243895           17 mlx5_comp1
  3 342            0      4600014      2210980           18 mlx5_comp2
  4 343            0      4437407      2268044           19 mlx5_comp3
  5 344            0      4552007      2293368           20 mlx5_comp4
  6 345            0      4489599      2214651           21 mlx5_comp5
  7 346            0      4547051      2240852           22 mlx5_comp6
  8 347            0      4439171      2275533           23 mlx5_comp7
total            397     36114298     18023081
