idx irq        fired       rxpkts       txpkts         cpus name
  0 317          417            0            0        32-63 mlx5_async0
  1 318           28      5932916      2954682           16 mlx5_comp0
  2 341            0      6169741      2973559           17 mlx5_comp1
  3 342            0      5964415      2839086           18 mlx5_comp2
  4 343            0      6125986      3051634           19 mlx5_comp3
  5 344           45      5910393      3078621           20 mlx5_comp4
  6 345            0      6267037      3042528           21 mlx5_comp5
  7 346            0      6102130      2965220           22 mlx5_comp6
  8 347            0      5692617      3127424           23 mlx5_comp7
total            490     48165235     24032754
