idx irq        fired       rxpkts       txpkts         cpus name
  0 317          424            0            0        32-63 mlx5_async0
  1 318           79      7374753      4021215           16 mlx5_comp0
  2 341           15      8657703      3656369           17 mlx5_comp1
  3 342            0      6789500      4291289           18 mlx5_comp2
  4 343            0      7699128      4040482           19 mlx5_comp3
  5 344          112      9681247      3133824           20 mlx5_comp4
  6 345           23      9161310      3433466           21 mlx5_comp5
  7 346            0      6304163      5772584           22 mlx5_comp6
  8 347            5      8415597      3710352           23 mlx5_comp7
total            658     64083401     32059581
