idx irq        fired       rxpkts       txpkts         cpus name
  0 317        18158            0            0        32-63 mlx5_async0
  1 318       317130      7545606      3895658           16 mlx5_comp0
  2 341       329119      7250258      3509579           17 mlx5_comp1
  3 342       331902      7254786      3671198           18 mlx5_comp2
  4 343       319629      7297917      3564783           19 mlx5_comp3
  5 344       325875      7296650      3799930           20 mlx5_comp4
  6 345       321230      7365581      3610864           21 mlx5_comp5
  7 346       330253      7193129      3582003           22 mlx5_comp6
  8 347       326063      7449107      3682304           23 mlx5_comp7
total        2619359     58653034     29316319
