idx irq        fired       rxpkts       txpkts         cpus name
  0 317          343            0            0        32-63 mlx5_async0
  1 318           65      5704096      3037904           16 mlx5_comp0
  2 341           10      5685178      3107758           17 mlx5_comp1
  3 342           10      6434154      2939067           18 mlx5_comp2
  4 343            3      6016941      2965419           19 mlx5_comp3
  5 344           70      6120392      2997180           20 mlx5_comp4
  6 345            3      6164959      2970594           21 mlx5_comp5
  7 346            4      5555121      3052521           22 mlx5_comp6
  8 347            8      6437203      2961336           23 mlx5_comp7
total            516     48118044     24031779
