idx irq        fired       rxpkts       txpkts         cpus name
  0 317          399            0            0        32-63 mlx5_async0
  1 318           47      1520814       742802           16 mlx5_comp0
  2 341            0      1528839       753780           17 mlx5_comp1
  3 342            0      1582568       741687           18 mlx5_comp2
  4 343            0      1492710       767228           19 mlx5_comp3
  5 344           55      1499501       758423           20 mlx5_comp4
  6 345            2      1428834       744476           21 mlx5_comp5
  7 346            0      1541868       759169           22 mlx5_comp6
  8 347            0      1560174       757873           23 mlx5_comp7
total            503     12155308      6025438
